K,Model,CV_Recall,CV_F1,HL_Test
1250,LogisticRegression,0.650496,0.624345,0.19802867383512546
1250,RandomForest,0.729472,0.755923,0.18010752688172044
1250,DeepLearning,0.8071,0.8144,0.16308243727598568
1300,MultinomialNB,0.67732,0.67104,0.2007168458781362
1300,LogisticRegression,0.651894,0.625592,0.19802867383512546
1300,RandomForest,0.734577,0.75851,0.16666666666666666
1300,DeepLearning,0.8016,0.8131,0.16129032258064516
1350,MultinomialNB,0.67967,0.673366,0.19444444444444445
1350,LogisticRegression,0.653754,0.627544,0.2007168458781362
1350,RandomForest,0.723174,0.745416,0.15681003584229392
1350,DeepLearning,0.7923,0.8016,0.16308243727598568
1400,MultinomialNB,0.683138,0.677876,0.1971326164874552
1400,LogisticRegression,0.651917,0.62565,0.19982078853046595
1400,RandomForest,0.733752,0.757225,0.16218637992831542
1400,DeepLearning,0.798,0.8081,0.15949820788530467
1450,MultinomialNB,0.683563,0.679785,0.1935483870967742
1450,LogisticRegression,0.65142,0.625263,0.20161290322580644
1450,RandomForest,0.725421,0.744862,0.1603942652329749
1450,DeepLearning,0.797,0.8101,0.1639784946236559
1500,MultinomialNB,0.686376,0.682564,0.18996415770609318
1500,LogisticRegression,0.651883,0.625751,0.20161290322580644
1500,RandomForest,0.733089,0.75618,0.1639784946236559
1500,DeepLearning,0.8039,0.8165,0.15770609318996415
1550,MultinomialNB,0.685438,0.681856,0.1953405017921147
1550,LogisticRegression,0.649551,0.62341,0.20340501792114696
1550,RandomForest,0.729124,0.748281,0.1693548387096774
1550,DeepLearning,0.7861,0.8028,0.1639784946236559
1600,MultinomialNB,0.683586,0.680192,0.1953405017921147
1600,LogisticRegression,0.651411,0.62528,0.19802867383512546
1600,RandomForest,0.715578,0.735161,0.16577060931899643
1600,DeepLearning,0.8109,0.8204,0.16129032258064516
1650,MultinomialNB,0.685456,0.682097,0.1971326164874552
1650,LogisticRegression,0.653281,0.627131,0.19802867383512546
1650,RandomForest,0.720793,0.738411,0.1639784946236559
1650,DeepLearning,0.8043,0.8118,0.1603942652329749
1700,MultinomialNB,0.688096,0.684562,0.1971326164874552
1700,LogisticRegression,0.654696,0.628543,0.1971326164874552
1700,RandomForest,0.71756,0.73668,0.16577060931899643
1700,DeepLearning,0.7901,0.8025,0.15232974910394265
