K,Model,CV_Recall,CV_F1,HL_Test
1250,DeepLearning,0.9121,0.9102,0.11015325670498084
1300,MultinomialNB,0.875761,0.884339,0.1009433962264151
1300,LogisticRegression,0.901275,0.874787,0.13867924528301886
1300,RandomForest,0.934458,0.925987,0.0660377358490566
1300,DeepLearning,0.929,0.923,0.08396226415094339
1350,MultinomialNB,0.833899,0.858021,0.12062256809338522
1350,LogisticRegression,0.870387,0.842419,0.13229571984435798
1350,RandomForest,0.924002,0.916521,0.05933852140077821
1350,DeepLearning,0.9279,0.9235,0.13326848249027237
1400,MultinomialNB,0.831699,0.852113,0.12593984962406016
1400,LogisticRegression,0.88415,0.85582,0.14849624060150377
1400,RandomForest,0.927017,0.918634,0.07706766917293233
1400,DeepLearning,0.929,0.9248,0.10714285714285714
1450,MultinomialNB,0.845257,0.865919,0.12118320610687022
1450,LogisticRegression,0.894523,0.866716,0.1450381679389313
1450,RandomForest,0.927718,0.921985,0.0715648854961832
1450,DeepLearning,0.9257,0.9236,0.10782442748091603
1500,MultinomialNB,0.825938,0.847315,0.14942528735632185
1500,LogisticRegression,0.870707,0.843733,0.13218390804597702
1500,RandomForest,0.923479,0.9148,0.08237547892720307
1500,DeepLearning,0.9162,0.9086,0.11685823754789272
1550,MultinomialNB,0.820472,0.845364,0.14772727272727273
1550,LogisticRegression,0.86227,0.83663,0.14867424242424243
1550,RandomForest,0.922004,0.916135,0.07859848484848485
1550,DeepLearning,0.9096,0.9061,0.10606060606060606
1600,MultinomialNB,0.835947,0.856941,0.15319548872180452
1600,LogisticRegression,0.895619,0.871988,0.12969924812030076
1600,RandomForest,0.928626,0.920283,0.07518796992481203
1600,DeepLearning,0.9323,0.9297,0.09492481203007519
1650,MultinomialNB,0.830335,0.851106,0.1431297709923664
1650,LogisticRegression,0.87825,0.85257,0.16698473282442747
1650,RandomForest,0.923577,0.917534,0.08110687022900763
1650,DeepLearning,0.9211,0.9181,0.12595419847328243
1700,MultinomialNB,0.856511,0.872805,0.13846153846153847
1700,LogisticRegression,0.906983,0.886058,0.12788461538461537
1700,RandomForest,0.916338,0.909032,0.09134615384615384
1700,DeepLearning,0.9314,0.9266,0.10865384615384616
1750,MultinomialNB,0.840047,0.859262,0.1431297709923664
1750,LogisticRegression,0.891738,0.864671,0.1316793893129771
1750,RandomForest,0.921878,0.914175,0.09446564885496184
1750,DeepLearning,0.9206,0.9185,0.18606870229007633
1800,MultinomialNB,0.841874,0.864196,0.13385826771653545
1800,LogisticRegression,0.885028,0.858229,0.1643700787401575
1800,RandomForest,0.923901,0.917276,0.08070866141732283
1800,DeepLearning,0.9191,0.9175,0.09744094488188976
1850,MultinomialNB,0.837847,0.857376,0.12638376383763839
1850,LogisticRegression,0.872894,0.847396,0.15498154981549817
1850,RandomForest,0.91961,0.91192,0.08118081180811808
1850,DeepLearning,0.9177,0.9169,0.1706642066420664
1900,MultinomialNB,0.878055,0.88848,0.1397338403041825
1900,LogisticRegression,0.91196,0.887082,0.11692015209125475
1900,RandomForest,0.933816,0.926536,0.07129277566539924
1900,DeepLearning,0.928,0.9254,0.09695817490494296
1950,MultinomialNB,0.842061,0.861937,0.13962264150943396
1950,LogisticRegression,0.886762,0.862595,0.14150943396226415
1950,RandomForest,0.919076,0.910935,0.10471698113207548
1950,DeepLearning,0.9291,0.9236,0.1160377358490566
2000,MultinomialNB,0.8496,0.866082,0.125
2000,LogisticRegression,0.890948,0.865278,0.13731060606060605
2000,RandomForest,0.92841,0.920217,0.09564393939393939
2000,DeepLearning,0.9115,0.9054,0.14204545454545456
11991,MultinomialNB,0.869492,0.877782,0.10344827586206896
11991,LogisticRegression,0.907773,0.896361,0.07567049808429119
11991,RandomForest,0.917158,0.91291,0.07854406130268199
11991,DeepLearning,0.912,0.9108,0.12260536398467432
